Sample Number,Result,Time,Method
0,1.0,165.844602875,relax
1,1.0,135.27304879166667,relax
2,1.0,144.52880966666666,relax
3,1.0,156.82569283333333,relax
4,1.0,213.01075304166667,relax
5,1.0,164.75690179166668,relax
6,1.0,133.98767558333333,relax
7,1.0,135.5795735,relax
8,1.0,154.9953105,relax
9,1.0,123.89424454166667,relax
10,1.0,138.5312905,relax
11,1.0,144.71652016666667,relax
12,1.0,237.851107,relax
13,1.0,147.295625375,relax
14,1.0,156.28527741666667,relax
15,1.0,139.39550658333334,relax
16,1.0,148.37853658333333,relax
17,2.0,238.52970920833334,relax
18,1.0,133.27907508333334,relax
19,1.0,240.73325304166667,relax
20,1.0,141.29916379166667,relax
21,1.0,141.13776145833333,relax
22,2.0,227.52372804166666,relax
23,1.0,417.4535065833333,relax
24,1.0,151.11930004166666,relax
25,1.0,169.68297004166666,relax
26,1.0,160.93611041666668,relax
27,1.0,181.33813816666665,relax
28,1.0,189.69995820833333,relax
29,1.0,125.04426354166667,relax
30,1.0,175.07884329166666,relax
31,1.0,143.74090758333332,relax
32,1.0,145.71303316666666,relax
33,1.0,198.90596958333333,relax
34,1.0,163.60259658333334,relax
35,1.0,134.1320245,relax
36,1.0,130.18633445833333,relax
37,1.0,176.61645791666666,relax
38,1.0,142.993608875,relax
39,1.0,156.15738066666665,relax
40,1.0,219.016742125,relax
41,1.0,231.15231783333334,relax
42,1.0,186.83137754166665,relax
43,1.0,220.35608783333333,relax
44,1.0,205.76333729166666,relax
45,1.0,156.58085470833333,relax
46,1.0,151.506849875,relax
47,1.0,138.427787875,relax
48,1.0,200.564456875,relax
49,1.0,139.10995125,relax
50,1.0,168.684888625,relax
51,1.0,169.54984408333334,relax
52,1.0,136.39848654166667,relax
53,1.0,138.66582641666668,relax
54,2.0,324.28787604166666,relax
55,2.0,227.64219741666668,relax
56,1.0,194.45078820833334,relax
57,1.0,138.29825579166666,relax
58,1.0,143.41568379166668,relax
59,1.0,180.21747075,relax
60,1.0,152.36491045833333,relax
61,1.0,173.68680241666667,relax
62,2.0,163.95725620833332,relax
63,1.0,203.82949041666666,relax
64,1.0,196.47039220833332,relax
65,1.0,147.02998758333334,relax
66,1.0,190.97342720833333,relax
67,2.0,203.87503158333334,relax
68,1.0,127.864040875,relax
69,1.0,127.342611125,relax
70,1.0,135.70948604166668,relax
71,1.0,129.41088370833333,relax
72,1.0,144.220811375,relax
73,1.0,222.70452833333334,relax
74,1.0,222.95101266666666,relax
75,2.0,172.40260241666667,relax
76,1.0,171.48195329166666,relax
77,1.0,172.963124625,relax
78,1.0,160.43730366666668,relax
79,1.0,184.629122875,relax
80,1.0,161.25525483333334,relax
81,1.0,141.86367716666666,relax
82,1.0,228.07464691666667,relax
83,1.0,149.10408025,relax
84,1.0,437.117955,relax
85,1.0,180.20058308333333,relax
86,1.0,129.46570745833333,relax
87,1.0,151.032906625,relax
88,1.0,131.25539691666665,relax
89,1.0,146.76662375,relax
90,1.0,236.71284329166667,relax
91,1.0,175.489909875,relax
92,1.0,152.68320279166667,relax
93,1.0,149.59533633333334,relax
94,2.0,165.01546479166666,relax
95,1.0,150.462762,relax
96,1.0,152.14770133333334,relax
97,1.0,241.38170933333333,relax
98,1.0,131.16149741666666,relax
99,1.0,183.76574554166666,relax
100,2.0,1422.7720365,relax
101,1.0,151.631563,relax
102,1.0,152.14712725,relax
103,1.0,222.444881625,relax
104,1.0,241.08683825,relax
105,2.0,199.91357008333333,relax
106,1.0,172.547725375,relax
107,1.0,179.75861679166667,relax
108,1.0,130.39281241666666,relax
