Sample Number,Result,Time,Method
0,2.0,1.0416485416666668,approx
1,1.0,0.203277375,approx
2,1.0,0.273656,approx
3,2.0,0.22413270833333335,approx
4,1.0,0.25848075,approx
5,1.0,0.209789125,approx
6,1.0,0.23559820833333334,approx
7,1.0,0.184978875,approx
8,1.0,0.22371383333333333,approx
9,2.0,0.21466075,approx
10,1.0,0.24566325,approx
11,1.0,0.246165875,approx
12,1.0,0.19931604166666667,approx
13,1.0,0.17638266666666666,approx
14,1.0,0.161855875,approx
15,1.0,0.225961625,approx
16,1.0,0.24550666666666668,approx
17,1.0,0.31103454166666666,approx
18,2.0,0.3137115833333333,approx
19,2.0,0.12823395833333334,approx
20,1.0,0.240058,approx
21,1.0,0.22561404166666665,approx
22,1.0,0.16285308333333334,approx
23,1.0,0.23585654166666667,approx
24,1.0,0.15678970833333333,approx
25,2.0,0.24240133333333333,approx
26,2.0,0.3023544166666667,approx
27,1.0,0.24546391666666667,approx
28,1.0,0.16897854166666668,approx
29,1.0,0.23718158333333333,approx
30,1.0,0.24158554166666665,approx
31,1.0,0.2265795,approx
32,1.0,0.252426875,approx
33,1.0,0.28686625,approx
34,1.0,0.25517054166666664,approx
35,1.0,0.23406391666666668,approx
36,1.0,0.180484,approx
37,1.0,0.23829554166666667,approx
38,1.0,0.250125,approx
39,2.0,0.204904125,approx
40,1.0,0.25590691666666665,approx
41,2.0,0.14975091666666668,approx
42,1.0,0.226942375,approx
43,1.0,0.241134,approx
44,2.0,0.18748591666666667,approx
45,1.0,0.21088045833333333,approx
46,2.0,0.20742216666666666,approx
47,1.0,0.22675983333333333,approx
48,1.0,0.24498958333333334,approx
49,1.0,0.1420875,approx
50,1.0,0.268600875,approx
51,1.0,0.21250329166666668,approx
52,1.0,0.18587845833333333,approx
53,1.0,0.241623375,approx
54,1.0,0.1852185,approx
55,2.0,0.216661125,approx
56,2.0,0.208910375,approx
57,1.0,0.22011020833333333,approx
58,1.0,0.23308333333333334,approx
59,1.0,0.1716085,approx
60,1.0,0.21582925,approx
61,1.0,0.16969016666666667,approx
62,1.0,0.23632129166666666,approx
63,1.0,0.23319733333333334,approx
64,1.0,0.26829754166666664,approx
65,1.0,0.23727816666666668,approx
66,1.0,0.26594704166666666,approx
67,1.0,0.24218345833333332,approx
68,2.0,0.26733720833333335,approx
69,1.0,0.22475633333333334,approx
70,2.0,0.18430629166666668,approx
71,1.0,0.24104608333333333,approx
72,1.0,0.21124108333333333,approx
73,1.0,0.19809354166666668,approx
74,2.0,0.211279375,approx
75,1.0,0.18483166666666667,approx
76,1.0,0.23191066666666665,approx
77,1.0,0.304355125,approx
78,2.0,0.14581479166666667,approx
79,1.0,0.24260679166666665,approx
80,2.0,0.18613320833333333,approx
81,2.0,0.15938416666666666,approx
82,1.0,0.20206083333333333,approx
83,2.0,0.20830466666666667,approx
84,2.0,0.231665375,approx
85,1.0,0.21497091666666668,approx
86,1.0,0.22474458333333333,approx
87,2.0,0.2510695416666667,approx
88,1.0,0.20660883333333332,approx
89,1.0,0.20370858333333333,approx
90,1.0,0.20237404166666667,approx
91,2.0,0.25522883333333335,approx
92,1.0,0.234303625,approx
93,1.0,0.22458579166666667,approx
94,1.0,0.19749645833333335,approx
95,1.0,0.22660679166666667,approx
96,1.0,0.21198954166666667,approx
97,1.0,0.20365533333333333,approx
98,2.0,0.19769720833333335,approx
99,1.0,0.16204854166666666,approx
