Sample Number,Result,Time,Method
0,1.0,18.631280375,relax
1,1.0,17.2915805,relax
2,1.0,20.580875416666668,relax
3,2.0,21.279575041666668,relax
4,2.0,40.47931475,relax
5,2.0,28.156839875,relax
6,1.0,22.1794795,relax
7,1.0,10.0115525,relax
8,1.0,26.957450708333333,relax
9,2.0,30.116595666666665,relax
10,1.0,12.681696458333333,relax
11,1.0,22.481127,relax
12,1.0,16.3806095,relax
13,2.0,22.067606541666667,relax
14,2.0,106.49601158333333,relax
15,2.0,24.918548041666668,relax
16,1.0,25.677697125,relax
17,1.0,23.296991541666667,relax
18,1.0,24.578740208333333,relax
19,2.0,28.969358833333335,relax
20,2.0,32.76309466666667,relax
21,1.0,18.328284666666665,relax
22,1.0,16.64129025,relax
23,1.0,26.679595833333334,relax
24,2.0,42.93760041666667,relax
25,2.0,31.207597875,relax
26,1.0,21.04505675,relax
27,1.0,14.7667315,relax
28,1.0,21.641378625,relax
29,2.0,41.6691965,relax
30,2.0,22.4746755,relax
31,1.0,20.2173585,relax
32,2.0,20.984584166666668,relax
33,2.0,26.707861083333334,relax
34,2.0,35.83528533333333,relax
35,1.0,19.2691425,relax
36,1.0,16.409094875,relax
37,2.0,76.904943875,relax
38,1.0,17.5609,relax
39,1.0,17.599867041666666,relax
40,2.0,44.856595166666665,relax
41,2.0,43.43167445833333,relax
42,1.0,18.387224875,relax
43,1.0,21.496201958333334,relax
44,2.0,19.203447958333335,relax
45,2.0,57.827091583333335,relax
46,2.0,57.939241375,relax
47,2.0,50.20916991666667,relax
48,2.0,24.290270958333334,relax
49,2.0,18.84283183333333,relax
50,1.0,18.21744908333333,relax
51,2.0,21.978185041666666,relax
52,2.0,30.246470833333333,relax
53,1.0,16.051162125,relax
54,2.0,26.666116166666665,relax
55,1.0,18.243123375,relax
56,1.0,22.391560208333335,relax
57,2.0,30.376504541666666,relax
58,1.0,20.36472,relax
59,1.0,18.515421,relax
60,2.0,31.788020916666667,relax
61,1.0,18.11057675,relax
62,1.0,21.62662325,relax
63,2.0,24.079588458333333,relax
64,2.0,21.560952,relax
65,2.0,69.20726879166666,relax
66,1.0,22.132250208333332,relax
67,1.0,17.554851708333334,relax
68,2.0,32.746202583333336,relax
69,1.0,22.789578875,relax
70,1.0,20.674971958333334,relax
71,2.0,35.31039645833334,relax
72,2.0,28.09953575,relax
73,2.0,34.44952545833333,relax
74,2.0,25.473714166666667,relax
75,1.0,20.541150083333335,relax
76,2.0,24.550438083333333,relax
77,1.0,20.029886041666668,relax
78,1.0,19.68599220833333,relax
79,1.0,19.351737833333335,relax
80,1.0,13.804279666666666,relax
81,2.0,45.791889625,relax
82,2.0,23.705634458333332,relax
83,2.0,44.157497375,relax
84,1.0,22.284229708333335,relax
85,2.0,29.459206916666666,relax
86,2.0,31.941095458333333,relax
87,2.0,26.563016916666665,relax
88,2.0,32.46409333333333,relax
89,1.0,16.241194083333333,relax
90,2.0,37.449403583333336,relax
91,1.0,19.82178175,relax
92,2.0,34.246440875,relax
93,2.0,26.061891583333335,relax
94,2.0,23.633307541666667,relax
95,2.0,42.561905458333335,relax
96,1.0,15.055805375,relax
97,2.0,36.505777208333335,relax
98,2.0,38.0982415,relax
99,2.0,26.529161958333333,relax
