Sample Number,Result,Time,Method
0,2.0,2.1139587916666667,approx
1,2.0,2.7736003333333334,approx
2,1.0,2.2480217916666665,approx
3,2.0,2.183825375,approx
4,1.0,3.4543905833333333,approx
5,1.0,3.4516040833333332,approx
6,1.0,2.96191225,approx
7,2.0,2.4944919166666666,approx
8,2.0,3.46049725,approx
9,2.0,2.7537023333333335,approx
10,2.0,2.8318715416666667,approx
11,2.0,2.744043,approx
12,2.0,2.559498125,approx
13,1.0,2.362442166666667,approx
14,2.0,2.7242415,approx
15,1.0,3.0740990833333335,approx
16,1.0,3.0698295416666666,approx
17,2.0,3.197675041666667,approx
18,2.0,3.044720416666667,approx
19,2.0,1.9123370416666667,approx
20,1.0,3.0841163333333332,approx
21,1.0,4.483941416666666,approx
22,2.0,3.4974775416666666,approx
23,1.0,2.9324545416666665,approx
24,2.0,2.053207375,approx
25,2.0,2.9285127083333333,approx
26,2.0,3.317415,approx
27,2.0,3.1480317916666665,approx
28,2.0,2.9725978333333334,approx
29,2.0,2.3558915833333334,approx
30,2.0,2.746492791666667,approx
31,2.0,2.876005458333333,approx
32,2.0,3.1097814583333334,approx
33,1.0,4.294590458333333,approx
34,1.0,2.87817925,approx
35,2.0,3.7791899583333333,approx
36,2.0,2.575224625,approx
37,2.0,3.2255360833333335,approx
38,1.0,2.8048740833333334,approx
39,2.0,3.2819802916666667,approx
40,1.0,3.315236458333333,approx
41,2.0,2.0979626666666666,approx
42,2.0,3.332694,approx
43,2.0,2.418252625,approx
44,2.0,2.771052625,approx
45,2.0,2.567576416666667,approx
46,2.0,2.42184125,approx
47,2.0,3.0347055,approx
48,1.0,3.3902395833333334,approx
49,2.0,2.4929515416666668,approx
50,2.0,2.9158629583333333,approx
51,2.0,2.552186708333333,approx
52,2.0,2.6225205,approx
53,2.0,2.9399022083333333,approx
54,2.0,3.32030975,approx
55,1.0,2.6860700416666665,approx
56,2.0,2.3546302916666666,approx
57,2.0,3.154240875,approx
58,2.0,3.113773458333333,approx
59,2.0,3.3377187083333335,approx
60,1.0,2.7178065416666666,approx
61,2.0,2.5488988333333333,approx
62,1.0,2.8983315,approx
63,1.0,2.9813244583333334,approx
64,1.0,2.798683625,approx
65,2.0,3.161223833333333,approx
66,1.0,3.328784125,approx
67,2.0,2.9481305833333336,approx
68,2.0,3.5331160833333333,approx
69,2.0,2.637234,approx
70,2.0,3.3032294583333335,approx
71,2.0,3.031324,approx
72,2.0,2.33846775,approx
73,1.0,2.612199583333333,approx
74,2.0,3.14198475,approx
75,1.0,2.809191541666667,approx
76,2.0,2.9277442916666665,approx
77,2.0,3.0456402083333334,approx
78,2.0,2.762959,approx
79,1.0,3.5994547916666666,approx
80,2.0,2.6014409166666668,approx
81,2.0,2.032128458333333,approx
82,1.0,3.0647489583333334,approx
83,2.0,4.4787498333333335,approx
84,2.0,2.683744875,approx
85,2.0,3.1204450833333333,approx
86,1.0,2.567954625,approx
87,2.0,2.6966211666666666,approx
88,2.0,3.8753157083333334,approx
89,2.0,2.516729916666667,approx
90,2.0,2.746584791666667,approx
91,2.0,3.3812114166666665,approx
92,1.0,3.321643208333333,approx
93,2.0,2.478573375,approx
94,2.0,1.9660316666666666,approx
95,2.0,2.964744875,approx
96,2.0,3.220183083333333,approx
97,2.0,2.68724175,approx
98,2.0,3.1427119583333334,approx
99,2.0,2.100339875,approx
