Sample Number,Result,Time,Method
0,2.0,1.7923640833333334,relax
1,2.0,1.5719245416666667,relax
2,2.0,1.4064908333333332,relax
3,2.0,1.4457139583333334,relax
4,2.0,1.2196755833333333,relax
5,2.0,1.2189065833333332,relax
6,2.0,1.0698947083333334,relax
7,2.0,1.479787,relax
8,2.0,1.9776079166666667,relax
9,2.0,1.4067606666666668,relax
10,2.0,1.576051,relax
11,2.0,1.513602875,relax
12,2.0,1.2039943333333334,relax
13,2.0,1.5745385833333334,relax
14,1.0,1.093474625,relax
15,1.0,1.0544372916666667,relax
16,2.0,1.7580928333333334,relax
17,2.0,1.200899125,relax
18,2.0,1.5057494166666667,relax
19,2.0,1.966690125,relax
20,2.0,1.2835277083333334,relax
21,2.0,0.9724767083333333,relax
22,2.0,1.92819225,relax
23,1.0,1.0522185833333333,relax
24,2.0,1.9291837916666668,relax
25,2.0,1.8763445416666666,relax
26,2.0,0.9457502916666667,relax
27,2.0,1.3269425833333333,relax
28,1.0,1.1186605,relax
29,2.0,1.9664689583333332,relax
30,2.0,1.3772220833333333,relax
31,2.0,1.3705634583333333,relax
32,2.0,1.360015,relax
33,1.0,0.76869825,relax
34,2.0,1.048350875,relax
35,2.0,1.1643287083333334,relax
36,2.0,1.3673083333333333,relax
37,1.0,1.2617051666666668,relax
38,2.0,1.218670125,relax
39,2.0,1.2470184583333332,relax
40,1.0,0.8246995833333334,relax
41,2.0,1.7135257916666666,relax
42,1.0,1.173234875,relax
43,2.0,1.2700254583333332,relax
44,2.0,1.80492275,relax
45,2.0,1.543509125,relax
46,2.0,2.1312318333333335,relax
47,2.0,0.995425875,relax
48,2.0,1.0135237916666666,relax
49,2.0,1.2509615833333334,relax
50,2.0,1.1294720416666666,relax
51,2.0,1.2585617916666667,relax
52,2.0,1.4732029583333333,relax
53,2.0,1.7109838333333334,relax
54,2.0,1.3302960833333333,relax
55,1.0,0.8867737083333334,relax
56,2.0,1.322455375,relax
57,2.0,1.2303261666666667,relax
58,2.0,1.2743989166666667,relax
59,2.0,1.412571,relax
60,2.0,1.236597375,relax
61,2.0,1.086450125,relax
62,2.0,1.5759013333333334,relax
63,1.0,0.70812,relax
64,2.0,1.2749572083333334,relax
65,2.0,1.2985882916666667,relax
66,2.0,1.760070625,relax
67,1.0,1.11490725,relax
68,2.0,1.2507334166666666,relax
69,2.0,1.6233095416666667,relax
70,2.0,1.5598061666666667,relax
71,1.0,1.400105125,relax
72,2.0,1.505916375,relax
73,2.0,1.1952776666666667,relax
74,2.0,1.6315335416666668,relax
75,2.0,1.246498125,relax
76,1.0,1.4122549583333333,relax
77,2.0,1.1522703333333333,relax
78,2.0,1.738470125,relax
79,2.0,1.2124674583333332,relax
80,2.0,2.4031407083333334,relax
81,2.0,2.1001452916666667,relax
82,1.0,1.102687625,relax
83,2.0,1.359991,relax
84,2.0,1.4516462916666666,relax
85,2.0,1.630314625,relax
86,2.0,1.1337787083333333,relax
87,2.0,1.073563875,relax
88,2.0,1.4403055833333334,relax
89,2.0,1.192534375,relax
90,2.0,1.7733659583333334,relax
91,2.0,1.470588125,relax
92,1.0,0.9774075833333333,relax
93,2.0,1.539275125,relax
94,2.0,1.6663,relax
95,2.0,1.0678725416666666,relax
96,1.0,0.9315873333333333,relax
97,2.0,1.64640025,relax
98,2.0,1.40351,relax
99,2.0,1.729606875,relax
