Sample Number,Result,Time,Method
0,1.0,10.59287875,relax
1,1.0,11.469156125,relax
2,1.0,11.900528125,relax
3,1.0,10.93022425,relax
4,1.0,11.290051041666667,relax
5,1.0,10.692063208333334,relax
6,1.0,10.879616,relax
7,1.0,11.165833208333334,relax
8,1.0,10.71116775,relax
9,1.0,10.7637225,relax
10,1.0,11.05517725,relax
11,1.0,10.768197041666667,relax
12,1.0,10.666465041666667,relax
13,1.0,11.207068625,relax
14,1.0,9.891887166666667,relax
15,1.0,10.638332416666668,relax
16,0.0,0.121437125,counterexample
17,0.0,0.15128429166666665,counterexample
18,1.0,10.431824375,relax
19,1.0,10.381831958333333,relax
20,1.0,10.677981583333333,relax
21,1.0,10.200242541666666,relax
22,1.0,10.86139275,relax
23,1.0,11.083458875,relax
24,1.0,11.081036708333333,relax
25,1.0,11.873755458333333,relax
26,1.0,10.622026875,relax
27,1.0,10.2878875,relax
28,1.0,10.514333333333333,relax
29,1.0,10.473461375,relax
30,0.0,0.15562558333333334,counterexample
31,1.0,10.706648083333333,relax
32,1.0,10.933457625,relax
33,1.0,10.327818875,relax
34,1.0,10.499867125,relax
35,2.0,30.316596583333332,approx
36,1.0,11.42584025,relax
37,1.0,10.67261275,relax
38,1.0,11.101281041666667,relax
39,0.0,0.1575525,counterexample
40,1.0,11.086620166666666,relax
41,1.0,10.8910965,relax
42,1.0,11.397124083333333,relax
43,1.0,10.446355333333333,relax
44,1.0,11.18263425,relax
45,1.0,10.863634458333333,relax
46,2.0,29.259475583333334,approx
47,1.0,11.26746575,relax
48,1.0,10.488026541666667,relax
49,0.0,0.16511729166666667,counterexample
50,1.0,11.021730333333334,relax
51,1.0,10.601789625,relax
52,1.0,11.325879958333333,relax
53,1.0,11.185034875,relax
54,1.0,10.151498666666667,relax
55,1.0,10.781153625,relax
56,1.0,10.79732275,relax
57,1.0,11.614164458333333,relax
58,2.0,48.565136,approx
59,1.0,10.937647875,relax
60,2.0,48.53045445833333,approx
61,1.0,12.130972,relax
62,1.0,11.185418166666667,relax
63,1.0,12.383985625,relax
64,1.0,11.530659,relax
65,1.0,11.530335666666666,relax
66,1.0,11.914858791666667,relax
67,1.0,11.246752666666668,relax
68,1.0,11.994873208333333,relax
69,1.0,10.803566166666666,relax
70,0.0,0.15482629166666667,counterexample
71,1.0,10.547550791666668,relax
72,0.0,0.159670125,counterexample
73,1.0,11.921464625,relax
74,0.0,0.15636575,counterexample
75,1.0,10.962115166666667,relax
76,1.0,10.17749375,relax
77,1.0,10.445688375,relax
78,1.0,11.616701666666666,relax
79,1.0,11.864644458333334,relax
80,1.0,11.179499791666666,relax
81,1.0,11.055791458333333,relax
82,1.0,10.850340125,relax
83,1.0,10.327411333333334,relax
84,1.0,11.097285791666666,relax
85,1.0,11.288393541666666,relax
86,1.0,10.566776916666667,relax
87,1.0,12.223054208333334,relax
88,1.0,11.584186458333333,relax
89,1.0,11.695948791666666,relax
90,1.0,11.287046625,relax
91,1.0,12.865636375,relax
92,1.0,11.438901125,relax
93,0.0,0.15577466666666667,counterexample
94,1.0,11.536603541666667,relax
95,1.0,12.020163375,relax
96,1.0,11.097534041666666,relax
97,1.0,12.29426975,relax
98,1.0,11.744195291666667,relax
99,1.0,11.361824833333333,relax
