Sample Number,Result,Time,Method
0,1.0,39.717276166666664,approx
1,1.0,44.587388583333336,approx
2,1.0,46.351702625,approx
3,1.0,43.03660625,approx
4,1.0,41.291516625,approx
5,1.0,41.581655291666664,approx
6,1.0,43.369378875,approx
7,1.0,42.838523625,approx
8,1.0,42.74801529166667,approx
9,1.0,38.25001841666667,approx
10,1.0,43.360535166666665,approx
11,1.0,41.08941158333333,approx
12,1.0,41.10689154166667,approx
13,1.0,39.344084,approx
14,1.0,41.395945833333336,approx
15,1.0,45.32556575,approx
16,1.0,46.395509875,approx
17,1.0,46.3388865,approx
18,1.0,44.07248941666667,approx
19,1.0,41.57742245833333,approx
20,1.0,42.616152125,approx
21,1.0,44.02406633333333,approx
22,1.0,41.39236975,approx
23,1.0,44.252245375,approx
24,2.0,39.657731375,approx
25,1.0,38.951672375,approx
26,1.0,41.26925504166667,approx
27,1.0,42.99466208333333,approx
28,1.0,44.930594375,approx
29,1.0,45.43692170833334,approx
30,1.0,40.86285470833333,approx
31,1.0,42.939743875,approx
32,1.0,39.7250415,approx
33,2.0,44.8854855,approx
34,1.0,40.850721916666664,approx
35,1.0,42.098778958333334,approx
36,1.0,44.362431125,approx
37,1.0,41.713747166666664,approx
38,1.0,42.465020875,approx
39,1.0,40.39895379166666,approx
40,1.0,44.64850416666667,approx
41,1.0,44.9997725,approx
42,1.0,41.043653375,approx
43,1.0,41.095248416666664,approx
44,1.0,47.452667291666664,approx
45,1.0,40.696714,approx
46,1.0,41.34308945833333,approx
47,1.0,44.16960520833333,approx
48,1.0,38.45560008333333,approx
49,1.0,41.07369254166667,approx
50,1.0,43.87068645833333,approx
51,1.0,44.52941525,approx
52,1.0,44.183502,approx
53,1.0,39.406312666666665,approx
54,2.0,45.726273166666665,approx
55,1.0,43.94535116666667,approx
56,1.0,42.91543454166667,approx
57,1.0,42.06565329166666,approx
58,1.0,43.01289383333334,approx
59,1.0,39.745170208333334,approx
60,1.0,44.558278333333334,approx
61,1.0,42.707719,approx
62,1.0,40.206616958333335,approx
63,1.0,42.829009541666665,approx
64,1.0,41.941747875,approx
65,1.0,42.95311470833333,approx
66,1.0,39.73901025,approx
67,1.0,42.310209625,approx
68,1.0,43.733782625,approx
69,1.0,41.73552879166667,approx
70,1.0,39.35043875,approx
71,1.0,47.004007666666666,approx
72,1.0,41.932651291666666,approx
73,1.0,43.55710725,approx
74,1.0,43.70484016666666,approx
75,1.0,44.53787833333333,approx
76,2.0,43.039118375,approx
77,1.0,44.66397033333333,approx
78,1.0,40.75798495833333,approx
79,1.0,40.830181625,approx
80,1.0,39.111055291666666,approx
81,1.0,38.41545408333333,approx
82,1.0,42.906622875,approx
83,1.0,37.338610333333335,approx
84,1.0,39.75645695833333,approx
85,1.0,36.60346629166666,approx
86,1.0,42.795574625,approx
87,1.0,43.361799375,approx
88,1.0,44.07309029166667,approx
89,1.0,41.24108445833333,approx
90,1.0,40.30367366666667,approx
91,1.0,42.63650329166666,approx
92,2.0,43.22034825,approx
93,1.0,44.60836116666667,approx
94,1.0,42.940385666666664,approx
95,1.0,42.200361541666666,approx
96,1.0,47.20142008333333,approx
97,2.0,41.77978675,approx
98,1.0,40.50821345833333,approx
99,2.0,46.497358958333336,approx
