Sample Number,Result,Time,Method
0,1.0,18.550854125,relax
1,1.0,20.645734208333334,relax
2,1.0,21.764443708333335,relax
3,1.0,20.076439083333334,relax
4,1.0,19.27839775,relax
5,1.0,20.57421625,relax
6,1.0,22.010495583333334,relax
7,1.0,21.602398708333332,relax
8,1.0,22.175473208333333,relax
9,1.0,18.943322416666668,relax
10,1.0,22.202670333333334,relax
11,1.0,22.758776166666667,relax
12,1.0,22.953493541666667,relax
13,1.0,20.686793583333333,relax
14,1.0,20.540856166666668,relax
15,1.0,22.73117858333333,relax
16,1.0,24.78043675,relax
17,1.0,23.890186416666666,relax
18,1.0,21.857844375,relax
19,1.0,20.519061125,relax
20,1.0,21.31192425,relax
21,1.0,22.249446333333335,relax
22,1.0,20.506907125,relax
23,1.0,22.900336375,relax
24,1.0,22.251819958333332,relax
25,1.0,21.42805325,relax
26,1.0,20.689068791666667,relax
27,1.0,21.96135175,relax
28,1.0,22.655290208333334,relax
29,1.0,22.627228791666667,relax
30,1.0,20.16174875,relax
31,1.0,21.587731541666667,relax
32,1.0,19.634803708333333,relax
33,2.0,22.961578666666668,relax
34,1.0,19.981442208333334,relax
35,1.0,20.983786333333335,relax
36,1.0,22.323210958333334,relax
37,1.0,20.0799215,relax
38,1.0,20.537293458333334,relax
39,1.0,19.711386291666667,relax
40,1.0,22.176798666666667,relax
41,1.0,22.781706083333333,relax
42,1.0,20.492725666666665,relax
43,1.0,19.951323916666666,relax
44,1.0,24.114453625,relax
45,1.0,19.20869925,relax
46,1.0,20.66465675,relax
47,1.0,22.492673375,relax
48,1.0,18.789545958333335,relax
49,1.0,20.145506875,relax
50,1.0,22.160664416666666,relax
51,1.0,21.716422083333335,relax
52,1.0,22.129470083333334,relax
53,1.0,19.434261208333332,relax
54,1.0,22.985694958333333,relax
55,1.0,21.96800225,relax
56,1.0,21.345928166666667,relax
57,1.0,21.479650625,relax
58,1.0,21.151668666666666,relax
59,1.0,20.081101625,relax
60,1.0,22.506063791666666,relax
61,1.0,23.711155166666668,relax
62,1.0,22.016957583333333,relax
63,1.0,24.145119541666666,relax
64,1.0,20.561234958333333,relax
65,1.0,21.539630625,relax
66,1.0,19.629257125,relax
67,1.0,21.679628416666667,relax
68,1.0,21.762706208333334,relax
69,1.0,20.82410545833333,relax
70,1.0,19.708699458333335,relax
71,1.0,24.292216458333332,relax
72,1.0,21.007246583333334,relax
73,1.0,21.957136625,relax
74,1.0,21.90100175,relax
75,1.0,22.689802625,relax
76,2.0,21.644496,relax
77,1.0,22.39469125,relax
78,1.0,20.122035,relax
79,1.0,22.433295875,relax
80,1.0,21.556219375,relax
81,1.0,21.092108416666665,relax
82,1.0,20.575154791666666,relax
83,1.0,18.466303708333335,relax
84,1.0,20.17229675,relax
85,1.0,18.713835875,relax
86,1.0,20.22752983333333,relax
87,1.0,21.78065075,relax
88,1.0,22.319921125,relax
89,1.0,20.787868,relax
90,1.0,20.233803375,relax
91,1.0,21.412309166666667,relax
92,1.0,21.963874583333332,relax
93,1.0,22.78414795833333,relax
94,1.0,21.901290708333335,relax
95,1.0,21.36234775,relax
96,1.0,24.759404083333333,relax
97,1.0,20.190564958333333,relax
98,1.0,20.359504208333334,relax
99,1.0,23.448546958333335,relax
