Sample Number,Result,Time,Method
0,1.0,226.51465616666667,approx
1,1.0,237.39218654166666,approx
2,1.0,237.17695645833334,approx
3,1.0,211.743040625,approx
4,1.0,230.97867370833333,approx
5,1.0,224.76876841666666,approx
6,1.0,242.92296570833332,approx
7,1.0,235.22200304166665,approx
8,1.0,234.37107508333332,approx
9,1.0,233.44318170833333,approx
10,1.0,238.315449125,approx
11,1.0,226.46480766666667,approx
12,1.0,228.40156295833333,approx
13,1.0,236.28520145833335,approx
14,1.0,231.10915695833333,approx
15,1.0,255.483791,approx
16,1.0,237.08746058333332,approx
17,1.0,248.94084975,approx
18,1.0,236.848386375,approx
19,1.0,214.36346104166665,approx
20,1.0,228.62014308333335,approx
21,1.0,228.62452941666666,approx
22,1.0,238.92345204166668,approx
23,1.0,224.03325058333334,approx
24,1.0,230.266577875,approx
25,1.0,229.58375479166668,approx
26,1.0,221.33227766666667,approx
27,1.0,236.69785879166668,approx
28,1.0,230.044792375,approx
29,1.0,238.885562875,approx
30,1.0,238.831173,approx
31,1.0,231.23504545833333,approx
32,1.0,235.60181795833333,approx
33,1.0,239.03556870833333,approx
34,1.0,239.59064725,approx
35,1.0,243.30113675,approx
36,1.0,236.12184683333334,approx
37,1.0,220.02550675,approx
38,1.0,220.55015291666666,approx
39,1.0,241.242137125,approx
40,1.0,225.03430283333333,approx
41,1.0,237.7432365,approx
42,1.0,243.86087591666666,approx
43,1.0,229.29322629166666,approx
44,1.0,243.33650791666668,approx
45,1.0,222.455725625,approx
46,1.0,238.59916416666667,approx
47,1.0,226.108225375,approx
48,2.0,248.85176366666667,approx
49,1.0,236.172440375,approx
50,1.0,246.03925916666665,approx
51,1.0,237.007991,approx
52,1.0,247.68876195833334,approx
53,1.0,241.30735329166666,approx
54,2.0,249.171144375,approx
55,1.0,218.714188875,approx
56,1.0,241.66222891666666,approx
57,1.0,230.811679125,approx
58,1.0,234.791586125,approx
59,1.0,242.65661295833334,approx
60,1.0,235.01290025,approx
61,1.0,256.7952774166667,approx
62,1.0,226.74720645833332,approx
63,1.0,229.38248779166668,approx
64,1.0,237.73854591666668,approx
65,1.0,229.07691004166668,approx
66,1.0,227.36882308333333,approx
67,1.0,228.37592533333333,approx
68,1.0,251.569128625,approx
69,1.0,240.49247225,approx
70,1.0,235.85836208333333,approx
71,1.0,232.04485116666666,approx
72,1.0,230.76767516666666,approx
73,1.0,212.06635554166667,approx
74,1.0,231.15458,approx
75,1.0,252.9337215,approx
76,1.0,234.87990908333333,approx
77,1.0,232.530992375,approx
78,1.0,232.29164279166667,approx
79,1.0,238.74802758333334,approx
80,1.0,206.21285504166667,approx
81,1.0,233.664610375,approx
82,1.0,241.53109233333333,approx
83,1.0,237.58401929166666,approx
84,1.0,241.80382708333335,approx
85,1.0,233.57220220833332,approx
86,1.0,235.75561329166666,approx
87,1.0,237.47272941666665,approx
88,1.0,226.75592170833335,approx
89,1.0,226.52463679166667,approx
90,1.0,246.26052595833335,approx
91,1.0,221.33271195833333,approx
92,1.0,230.234652375,approx
93,1.0,242.64529454166666,approx
94,1.0,246.201352375,approx
95,1.0,229.71438366666666,approx
96,1.0,232.96967004166666,approx
97,1.0,229.70156979166666,approx
98,2.0,247.74106225,approx
99,1.0,235.38679875,approx
