Sample Number,Result,Time,Method
0,1.0,54.522621208333334,relax
1,1.0,61.0766765,relax
2,1.0,62.67153245833333,relax
3,1.0,61.369892125,relax
4,1.0,59.549911125,relax
5,1.0,61.8514815,relax
6,1.0,63.962539375,relax
7,1.0,64.14777833333333,relax
8,1.0,64.46909041666666,relax
9,1.0,63.92585545833333,relax
10,1.0,66.642709,relax
11,1.0,63.799235875,relax
12,1.0,64.19019591666667,relax
13,1.0,63.72934083333333,relax
14,1.0,63.99589054166667,relax
15,1.0,70.633328,relax
16,1.0,63.6713275,relax
17,1.0,71.42923970833333,relax
18,1.0,65.52798941666667,relax
19,1.0,66.53819308333334,relax
20,1.0,65.73995204166667,relax
21,1.0,66.1230965,relax
22,1.0,64.5801025,relax
23,1.0,61.24200354166667,relax
24,1.0,62.09604275,relax
25,1.0,61.693517875,relax
26,1.0,62.64336741666666,relax
27,1.0,64.63393370833333,relax
28,1.0,62.250339958333335,relax
29,1.0,61.784048291666664,relax
30,1.0,64.91019754166666,relax
31,1.0,61.926729625,relax
32,1.0,65.84178595833333,relax
33,1.0,65.65545575,relax
34,1.0,65.01176358333333,relax
35,1.0,65.545351875,relax
36,1.0,63.50042520833333,relax
37,1.0,60.14999854166667,relax
38,1.0,59.98324275,relax
39,1.0,56.853252125,relax
40,1.0,55.47482591666667,relax
41,1.0,64.44460829166667,relax
42,1.0,65.78257004166667,relax
43,1.0,62.394199416666666,relax
44,1.0,65.966321375,relax
45,1.0,55.649211791666666,relax
46,1.0,64.93683933333334,relax
47,1.0,60.436276791666664,relax
48,1.0,67.00913879166667,relax
49,1.0,66.25777133333334,relax
50,1.0,67.23199183333334,relax
51,1.0,63.972015291666665,relax
52,1.0,68.74373145833333,relax
53,1.0,65.26205395833334,relax
54,1.0,66.11417779166666,relax
55,1.0,59.592866875,relax
56,1.0,65.87425591666667,relax
57,1.0,64.15934404166667,relax
58,1.0,65.27144483333333,relax
59,1.0,66.33942279166666,relax
60,1.0,64.492702375,relax
61,1.0,67.17198325,relax
62,1.0,61.42391645833333,relax
63,1.0,63.728779958333334,relax
64,1.0,66.56630216666667,relax
65,1.0,60.617713583333334,relax
66,1.0,63.21291045833333,relax
67,1.0,63.74115391666667,relax
68,1.0,68.43783816666667,relax
69,1.0,63.3326315,relax
70,1.0,64.18257379166667,relax
71,1.0,65.16813075,relax
72,1.0,62.329465041666666,relax
73,1.0,63.11028579166667,relax
74,1.0,61.158886333333335,relax
75,1.0,67.16102854166667,relax
76,1.0,63.874261833333335,relax
77,1.0,63.43017625,relax
78,1.0,62.99147404166666,relax
79,1.0,65.293769125,relax
80,1.0,61.804957583333334,relax
81,1.0,63.27065133333333,relax
82,1.0,64.314799625,relax
83,1.0,63.36454366666667,relax
84,1.0,66.903697,relax
85,1.0,63.246013125,relax
86,1.0,60.81378683333333,relax
87,1.0,61.69053075,relax
88,1.0,61.6993195,relax
89,1.0,61.468356,relax
90,1.0,63.791054708333334,relax
91,1.0,59.63985554166667,relax
92,1.0,64.57272904166666,relax
93,1.0,67.621782875,relax
94,1.0,65.73899029166667,relax
95,1.0,59.01424720833333,relax
96,1.0,59.92981195833333,relax
97,1.0,61.19139416666667,relax
98,1.0,67.83562475,relax
99,1.0,63.724840541666666,relax
